step,R0.7,R0.6
895.0,0.74,0.73
896.0,0.73,0.71
897.0,0.74,0.72
898.0,0.73,0.71
899.0,0.73,0.73
900.0,0.73,0.71
901.0,0.74,0.72
902.0,0.73,0.71
903.0,0.73,0.72
904.0,0.73,0.72
905.0,0.73,0.73
906.0,0.73,0.72
907.0,0.74,0.73
908.0,0.74,0.71
909.0,0.73,0.72
910.0,0.73,0.71
911.0,0.73,0.72
912.0,0.73,0.72
913.0,0.74,0.73
914.0,0.74,0.72
915.0,0.74,0.72
916.0,0.73,0.72
917.0,0.74,0.72
918.0,0.73,0.71
919.0,0.74,0.72
920.0,0.73,0.71
921.0,0.73,0.73
922.0,0.74,0.71
923.0,0.73,0.73
924.0,0.73,0.71
925.0,0.74,0.73
926.0,0.74,0.71
927.0,0.74,0.73
928.0,0.74,0.71
929.0,0.73,0.72
930.0,0.73,0.72
931.0,0.74,0.72
932.0,0.73,0.71
933.0,0.73,0.72
934.0,0.74,0.72
935.0,0.74,0.73
936.0,0.73,0.72
937.0,0.73,0.72
938.0,0.73,0.71
939.0,0.74,0.72
940.0,0.73,0.72
941.0,0.74,0.73
942.0,0.73,0.71
943.0,0.74,0.73
944.0,0.74,0.72
945.0,0.73,0.72
946.0,0.73,0.72
947.0,0.73,0.72
948.0,0.74,0.71
949.0,0.74,0.73
950.0,0.74,0.71
951.0,0.73,0.72
952.0,0.74,0.71
953.0,0.74,0.73
954.0,0.73,0.71
955.0,0.73,0.73
956.0,0.73,0.71
957.0,0.74,0.72
958.0,0.74,0.71
959.0,0.73,0.73
960.0,0.73,0.72
961.0,0.74,0.72
962.0,0.73,0.71
963.0,0.73,0.73
964.0,0.73,0.72
965.0,0.73,0.72
966.0,0.73,0.71
967.0,0.74,0.73
968.0,0.74,0.72
969.0,0.74,0.72
970.0,0.73,0.72
971.0,0.74,0.72
972.0,0.74,0.71
973.0,0.73,0.73
974.0,0.73,0.71
975.0,0.74,0.73
976.0,0.73,0.72
977.0,0.74,0.72
978.0,0.73,0.71
979.0,0.74,0.72
980.0,0.74,0.72
981.0,0.73,0.72
982.0,0.73,0.72
983.0,0.73,0.72
984.0,0.74,0.71
985.0,0.74,0.72
986.0,0.73,0.71
987.0,0.74,0.73
988.0,0.73,0.72
989.0,0.73,0.72
990.0,0.73,0.71
991.0,0.74,0.72
992.0,0.74,0.72
993.0,0.73,0.72
994.0,0.73,0.71
995.0,0.73,0.72
996.0,0.73,0.72
997.0,0.74,0.73
998.0,0.74,0.72
999.0,0.74,0.73
1000.0,0.74,0.71
1001.0,0.73,0.72
1002.0,0.74,0.72
1003.0,0.74,0.73
1004.0,0.73,0.71
1005.0,0.74,0.72
1006.0,0.74,0.72
1007.0,0.74,0.72
