step,R1.0,R0.9,R0.8
758.0,0.76,0.83,0.8
759.0,0.77,0.78,0.8
760.0,0.77,0.8,0.79
761.0,0.77,0.8,0.81
762.0,0.77,0.8,0.8
763.0,0.77,0.8,0.78
764.0,0.77,0.8,0.8
765.0,0.77,0.79,0.8
766.0,0.77,0.79,0.8
767.0,0.77,0.82,0.79
768.0,0.77,0.8,0.79
769.0,0.77,0.8,0.81
770.0,0.77,0.78,0.79
771.0,0.77,0.8,0.8
772.0,0.77,0.79,0.81
773.0,0.77,0.8,0.79
774.0,0.77,0.8,0.8
775.0,0.77,0.8,0.78
776.0,0.77,0.81,0.8
777.0,0.77,0.8,0.78
778.0,0.77,0.82,0.8
779.0,0.77,0.8,0.79
780.0,0.77,0.83,0.8
781.0,0.77,0.8,0.81
782.0,0.77,0.79,0.79
783.0,0.77,0.79,0.8
784.0,0.77,0.81,0.81
785.0,0.77,0.78,0.81
786.0,0.77,0.81,0.82
787.0,0.77,0.79,0.82
788.0,0.77,0.81,0.84
789.0,0.77,0.79,0.8
790.0,0.77,0.79,0.81
791.0,0.77,0.79,0.81
792.0,0.77,0.79,0.82
793.0,0.77,0.79,0.81
794.0,0.77,0.77,0.81
795.0,0.77,0.78,0.85
796.0,0.77,0.8,0.81
797.0,0.77,0.76,0.85
798.0,0.77,0.77,0.8
799.0,0.77,0.78,0.82
800.0,0.77,0.8,0.82
801.0,0.77,0.78,0.83
802.0,0.77,0.78,0.81
803.0,0.77,0.77,0.81
804.0,0.77,0.78,0.8
805.0,0.77,0.78,0.83
806.0,0.77,0.78,0.79
807.0,0.77,0.77,0.84
808.0,0.77,0.78,0.8
809.0,0.77,0.8,0.83
810.0,0.77,0.78,0.79
811.0,0.77,0.8,0.82
812.0,0.77,0.82,0.8
813.0,0.77,0.82,0.83
814.0,0.77,0.8,0.79
815.0,0.77,0.8,0.83
816.0,0.77,0.79,0.79
817.0,0.77,0.78,0.81
818.0,0.77,0.78,0.82
819.0,0.77,0.78,0.83
820.0,0.77,0.8,0.8
821.0,0.77,0.79,0.82
822.0,0.77,0.8,0.8
823.0,0.77,0.8,0.83
824.0,0.77,0.8,0.8
825.0,0.77,0.79,0.82
826.0,0.77,0.8,0.8
827.0,0.77,0.78,0.8
828.0,0.77,0.81,0.81
829.0,0.77,0.78,0.8
830.0,0.77,0.81,0.83
831.0,0.77,0.79,0.82
832.0,0.77,0.81,0.82
833.0,0.77,0.79,0.8
834.0,0.76,0.8,0.83
835.0,0.76,0.81,0.81
836.0,0.77,0.8,0.83
837.0,0.77,0.8,0.82
838.0,0.77,0.82,0.81
839.0,0.77,0.79,0.8
840.0,0.77,0.81,0.84
841.0,0.77,0.79,0.81
842.0,0.77,0.79,0.81
843.0,0.77,0.82,0.8
844.0,0.77,0.81,0.82
845.0,0.77,0.8,0.8
846.0,0.77,0.82,0.82
847.0,0.76,0.8,0.81
848.0,0.76,0.82,0.82
849.0,0.76,0.78,0.82
850.0,0.76,0.81,0.82
851.0,0.76,0.82,0.81
852.0,0.76,0.81,0.83
853.0,0.76,0.81,0.8
854.0,0.76,0.81,0.85
855.0,0.76,0.81,0.79
856.0,0.76,0.81,0.83
857.0,0.76,0.82,0.8
858.0,0.76,0.8,0.82
859.0,0.76,0.82,0.8
860.0,0.76,0.8,0.82
861.0,0.76,0.81,0.78
862.0,0.76,0.82,0.8
863.0,0.76,0.81,0.82
864.0,0.76,0.83,0.81
865.0,0.76,0.79,0.8
866.0,0.76,0.82,0.81
867.0,0.76,0.79,0.78
868.0,0.76,0.82,0.82
869.0,0.76,0.82,0.78
