step,R1.0,R0.9,R0.8,R0.7,R0.6,R0.5
374.0,0.72,0.77,0.8,0.79,0.81,0.69
375.0,0.73,0.8,0.79,0.78,0.81,0.7
376.0,0.71,0.78,0.79,0.78,0.82,0.68
377.0,0.72,0.75,0.77,0.8,0.81,0.72
378.0,0.72,0.78,0.77,0.79,0.82,0.69
379.0,0.71,0.8,0.79,0.78,0.8,0.72
380.0,0.7,0.78,0.79,0.8,0.82,0.71
381.0,0.72,0.78,0.79,0.8,0.82,0.7
382.0,0.71,0.78,0.79,0.8,0.83,0.7
383.0,0.7,0.77,0.8,0.8,0.81,0.7
384.0,0.69,0.79,0.76,0.82,0.84,0.7
385.0,0.7,0.75,0.79,0.78,0.8,0.7
386.0,0.72,0.83,0.79,0.78,0.82,0.7
387.0,0.7,0.77,0.81,0.8,0.82,0.71
388.0,0.73,0.78,0.8,0.78,0.82,0.69
389.0,0.71,0.79,0.79,0.77,0.8,0.72
390.0,0.71,0.78,0.79,0.77,0.8,0.7
391.0,0.72,0.8,0.79,0.78,0.79,0.72
392.0,0.72,0.81,0.77,0.76,0.82,0.7
393.0,0.72,0.79,0.78,0.78,0.8,0.72
394.0,0.72,0.79,0.81,0.79,0.79,0.7
395.0,0.74,0.79,0.78,0.78,0.79,0.71
396.0,0.73,0.79,0.79,0.77,0.81,0.68
397.0,0.73,0.75,0.71,0.8,0.79,0.7
398.0,0.72,0.8,0.76,0.77,0.81,0.69
399.0,0.71,0.78,0.74,0.79,0.8,0.7
400.0,0.73,0.81,0.76,0.78,0.83,0.7
401.0,0.7,0.77,0.76,0.81,0.8,0.68
402.0,0.71,0.8,0.78,0.77,0.82,0.7
403.0,0.73,0.72,0.76,0.81,0.82,0.69
404.0,0.72,0.78,0.77,0.8,0.8,0.69
405.0,0.74,0.74,0.75,0.77,0.82,0.68
406.0,0.75,0.79,0.76,0.77,0.83,0.69
407.0,0.75,0.77,0.75,0.78,0.82,0.7
408.0,0.73,0.81,0.79,0.78,0.83,0.71
409.0,0.76,0.82,0.79,0.79,0.8,0.71
410.0,0.75,0.82,0.83,0.81,0.81,0.7
411.0,0.74,0.82,0.78,0.79,0.8,0.7
412.0,0.74,0.79,0.79,0.8,0.81,0.69
413.0,0.75,0.83,0.79,0.77,0.79,0.69
414.0,0.74,0.8,0.77,0.8,0.81,0.68
415.0,0.74,0.77,0.8,0.77,0.78,0.71
416.0,0.72,0.86,0.77,0.77,0.82,0.7
417.0,0.74,0.77,0.8,0.76,0.78,0.71
418.0,0.75,0.81,0.78,0.8,0.8,0.7
419.0,0.75,0.84,0.77,0.76,0.79,0.71
420.0,0.73,0.81,0.77,0.78,0.81,0.69
421.0,0.73,0.81,0.76,0.8,0.79,0.71
422.0,0.73,0.81,0.75,0.79,0.8,0.7
423.0,0.74,0.84,0.77,0.78,0.78,0.69
424.0,0.73,0.81,0.76,0.79,0.8,0.7
425.0,0.74,0.8,0.77,0.81,0.8,0.7
426.0,0.74,0.78,0.76,0.78,0.83,0.72
427.0,0.74,0.82,0.76,0.8,0.78,0.69
428.0,0.76,0.76,0.75,0.8,0.82,0.69
429.0,0.76,0.82,0.72,0.79,0.81,0.71
430.0,0.75,0.78,0.74,0.79,0.8,0.72
431.0,0.73,0.82,0.76,0.8,0.79,0.7
432.0,0.74,0.77,0.77,0.79,0.81,0.71
433.0,0.75,0.78,0.77,0.79,0.81,0.71
434.0,0.74,0.78,0.76,0.76,0.81,0.72
435.0,0.74,0.8,0.76,0.78,0.81,0.69
436.0,0.73,0.74,0.76,0.75,0.79,0.69
437.0,0.73,0.77,0.76,0.78,0.81,0.71
438.0,0.74,0.74,0.8,0.76,0.8,0.71
439.0,0.73,0.78,0.75,0.77,0.81,0.7
440.0,0.73,0.75,0.79,0.78,0.8,0.72
441.0,0.74,0.8,0.76,0.76,0.8,0.7
442.0,0.73,0.76,0.79,0.79,0.79,0.7
443.0,0.73,0.78,0.77,0.76,0.8,0.7
444.0,0.74,0.8,0.79,0.78,0.82,0.72
445.0,0.73,0.82,0.81,0.75,0.79,0.71
446.0,0.74,0.76,0.76,0.79,0.81,0.7
447.0,0.76,0.77,0.8,0.74,0.78,0.72
448.0,0.76,0.8,0.8,0.77,0.81,0.72
449.0,0.75,0.77,0.76,0.75,0.78,0.7
450.0,0.75,0.77,0.8,0.78,0.82,0.7
451.0,0.75,0.77,0.77,0.77,0.8,0.69
452.0,0.74,0.79,0.79,0.78,0.82,0.7
453.0,0.76,0.77,0.81,0.75,0.79,0.7
454.0,0.75,0.77,0.76,0.75,0.81,0.7
455.0,0.74,0.78,0.8,0.76,0.79,0.7
456.0,0.74,0.8,0.76,0.76,0.8,0.69
457.0,0.74,0.78,0.77,0.78,0.77,0.7
458.0,0.74,0.77,0.83,0.75,0.81,0.72
459.0,0.75,0.8,0.78,0.76,0.78,0.69
460.0,0.73,0.82,0.78,0.76,0.81,0.68
461.0,0.74,0.83,0.83,0.78,0.78,0.7
462.0,0.74,0.78,0.8,0.74,0.79,0.7
463.0,0.75,0.8,0.82,0.76,0.78,0.69
464.0,0.73,0.78,0.79,0.75,0.8,0.7
465.0,0.73,0.84,0.79,0.75,0.8,0.7
466.0,0.75,0.81,0.8,0.75,0.81,0.69
467.0,0.75,0.79,0.79,0.74,0.79,0.71
468.0,0.75,0.84,0.78,0.76,0.81,0.7
469.0,0.75,0.77,0.79,0.73,0.79,0.71
470.0,0.72,0.83,0.81,0.74,0.82,0.7
471.0,0.71,0.85,0.79,0.76,0.79,0.7
472.0,0.73,0.84,0.83,0.75,0.8,0.71
473.0,0.74,0.82,0.79,0.75,0.8,0.69
474.0,0.75,0.78,0.78,0.73,0.81,0.69
475.0,0.74,0.84,0.79,0.76,0.79,0.7
476.0,0.74,0.78,0.81,0.75,0.81,0.72
477.0,0.75,0.85,0.8,0.77,0.79,0.71
478.0,0.75,0.84,0.82,0.76,0.81,0.7
479.0,0.75,0.81,0.79,0.78,0.8,0.72
480.0,0.73,0.79,0.82,0.76,0.81,0.71
481.0,0.72,0.81,0.79,0.79,0.8,0.69
482.0,0.72,0.79,0.78,0.75,0.82,0.72
483.0,0.74,0.82,0.8,0.76,0.8,0.7
484.0,0.73,0.82,0.79,0.75,0.8,0.7
485.0,0.73,0.83,0.8,0.73,0.8,0.71
486.0,0.73,0.8,0.82,0.77,0.81,0.69
487.0,0.73,0.84,0.78,0.72,0.79,0.71
488.0,0.74,0.79,0.81,0.72,0.8,0.7
489.0,0.74,0.83,0.8,0.74,0.81,0.69
490.0,0.73,0.8,0.78,0.77,0.8,0.69
491.0,0.75,0.82,0.78,0.74,0.81,0.7
492.0,0.76,0.82,0.78,0.78,0.78,0.7
493.0,0.75,0.81,0.76,0.76,0.81,0.7
494.0,0.76,0.79,0.8,0.78,0.78,0.72
